2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-GMEL: volume 0 < min 1000
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-KSTA: volume 0 < min 1000
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:124 | Event KXG7LEADEROUT-45JAN01: 0/7 markets passed filters
2026-03-15 17:34:04.523 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXRAMPBREX-40-BREX: volume 0 < min 1000
2026-03-15 17:34:04.523 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXRAMPBREX-40-RAMP: volume 0 < min 1000
2026-03-15 17:34:04.523 | INFO     | src.strategies.filters:filter_markets:124 | Event KXRAMPBREX-40: 0/2 markets passed filters
2026-03-15 17:34:04.524 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXOAIANTH-40-ANTH: volume 0 < min 1000
2026-03-15 17:34:04.524 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXOAIANTH-40-OAI: volume 0 < min 1000
2026-03-15 17:34:04.524 | INFO     | src.strategies.filters:filter_markets:124 | Event KXOAIANTH-40: 0/2 markets passed filters
2026-03-15 17:34:04.525 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXFUSION-40-JAN01: volume 0 < min 1000
2026-03-15 17:34:04.525 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXFUSION-30-JAN01: volume 0 < min 1000
2026-03-15 17:34:04.525 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXFUSION-35-JAN01: volume 0 < min 1000
2026-03-15 17:34:04.525 | INFO     | src.strategies.filters:filter_markets:124 | Event KXFUSION: 0/3 markets passed filters
2026-03-15 17:34:04.527 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXDEELRIP-40-DEEL: volume 0 < min 1000
2026-03-15 17:34:04.527 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXDEELRIP-40-RIPP: volume 0 < min 1000
2026-03-15 17:34:04.527 | INFO     | src.strategies.filters:filter_markets:124 | Event KXDEELRIP-40: 0/2 markets passed filters
